wavelength,bc01,bc02,bc03,bc04,bc05,bc06,bc07,bc08,bc09,bc10,bc11,bc12,ec01,ec02,ec03,ec04,ec05,ec06,ec07,ec08,lm01,lm02,lm03,lm04,lm05,pa01,pa02,pa03,pa04,pa05,pa06,se01,se02,se03,se04,se05,sa01,sa02,sa03,sa04,sa05,sa06,sa07,sa08,sa09,sa10,sa11
513.0602,1617.27,1020.298,2021.464921,1720.337,666.9576,1419.843,3473.867,3278.974,2772.671,1303.897,1722.1,1849.394,2216.809,495.0489,2390.612,2065.864,1713.613,4110.094,2766.618,2262.869,1718.413,2332.694,3371.841,3324.904,4945.805,1112.495,4021.517,1671.544,2281.146,2436.323,1690.64,1796.123,1500.943,1634.097,4710.472,2324.332,1674.409,3165.442,2395.501,4799.121,2619.844,3518.844,4274.568,3924.475,3787.436,2429.771,3024.738
513.4439,1617.227,1013.743,2015.200899,1709.056,648.013,1400.12,3437.372,3255.539,2741.885,1291.299,1715.916,1839.012,2187.886,501.3232,2389.544,2031.232,1698.755,4072.877,2722.103,2247.103,1676.617,2325.531,3346.878,3298.473,4920.887,1102.833,3986.006,1648.501,2265.883,2424.952,1668.942,1799.105,1502.466,1609.878,4651.841,2304.721,1690.744,3162.474,2397.489,4783.685,2627.876,3517.47,4253.13,3919.05,3770.054,2437.063,3034.222
513.8276,1625.032,1019.732,1991.316331,1714.406,652.9153,1399.6,3446.023,3234.054,2740.877,1267.387,1698.973,1827.128,2185.239,493.4287,2388.739,2025.46,1678.486,4028.701,2710.406,2240.594,1708.27,2339.292,3342.195,3277.735,4925.841,1104.7,3958.225,1632.476,2247.769,2411.455,1644.435,1769.181,1497.685,1609.842,4634.1,2272.706,1695.896,3189.566,2421.612,4767.743,2607.041,3518.417,4241.11,3908.15,3762.751,2424.362,3016.724
514.2112,1605.135,1020.7,1988.182266,1692.378,633.9194,1382.323,3392.227,3201.337,2700.674,1270.195,1673.825,1803.35,2171.009,494.9844,2354.588,1993.063,1665.501,3977.568,2704.185,2223.101,1707.243,2304.556,3336.993,3260.043,4901.39,1092.79,3936.825,1617.901,2223.224,2384.425,1628.368,1774.829,1479.144,1596.389,4586.2,2263.588,1686.788,3176.25,2431.122,4740.701,2610.804,3477.835,4249.521,3904.696,3798.509,2421.414,3008.905
514.5948,1606.161,1011.165,1966.30612,1690.085,633.4507,1386.738,3384.059,3179.355,2672.357,1259.409,1664.038,1792.344,2158.4,487.0722,2341.471,1963.765,1646.297,3940.321,2668.348,2200.551,1683.701,2282.161,3300.059,3244.03,4905.378,1088.55,3897.178,1618.381,2195.546,2368.895,1607.143,1754.645,1472.774,1585.049,4551.228,2234.896,1706.054,3184.128,2422.558,4703.931,2600.38,3485.309,4263.184,3900.247,3774.807,2429.204,2999.501
514.9783,1611.861,1005.644,1963.1621,1675.216,638.4166,1368.978,3357.634,3153.528,2664.401,1223.147,1650.691,1785.213,2154.147,479.6992,2321.638,1948.548,1625.615,3904.071,2619.918,2174.919,1688.321,2283.562,3283.407,3235.205,4891.694,1068.102,3867.101,1598.34,2170.997,2349.709,1593.454,1745.309,1484.636,1578.851,4493.609,2218.625,1715.657,3183.132,2423.04,4699.142,2613.608,3494.829,4229.653,3869.495,3748.123,2439.895,3004.977
515.3617,1573.722,991.622,1960.032124,1665.896,631.915,1363.053,3327.361,3128.549,2627.652,1239.562,1647.578,1761.448,2116.866,478.1044,2308.059,1931.506,1601.576,3880.228,2603.721,2152.652,1677.128,2272.598,3274.04,3196.84,4871.128,1054.946,3845.679,1588.32,2147.019,2318.107,1590.589,1735.408,1456.343,1573.695,4445.124,2198.047,1722.374,3182.637,2459.756,4680.281,2599.869,3460.126,4213.425,3863.55,3739.955,2427.213,2992.715
515.7452,1574.203,992.1079,1935.713774,1657.083,626.8998,1336.447,3303.81,3082.691,2607.296,1236.85,1626.566,1750.469,2111.065,473.365,2299.779,1911.895,1605.868,3827.06,2578.645,2141.021,1695.052,2264.025,3248.023,3179.202,4850.089,1055.317,3792.789,1583.795,2131.561,2298.334,1569.36,1723.575,1439.412,1554.628,4415.502,2166.01,1721.299,3187.553,2457.218,4645.436,2590.861,3466.373,4227.065,3863.053,3739.683,2424.019,2965.877
516.1285,1570.537,988.6004,1927.931924,1653.645,615.845,1340.371,3270.165,3064.55,2583.456,1223.563,1606.577,1743.878,2088.474,470.2081,2290.387,1887.359,1583.215,3787.799,2568.493,2125.308,1677.673,2257.345,3229.286,3157.426,4844.683,1047.267,3788.685,1580.274,2125.677,2286.395,1559.008,1707.549,1435.718,1545.866,4377.655,2142.118,1736.606,3191.004,2450.665,4625.118,2587.55,3455.467,4196.136,3838.246,3717.271,2425.71,2959.954
516.5119,1551.723,983.6041,1913.916782,1650.212,610.4083,1336.916,3243.243,3057.771,2568.56,1209.962,1591.193,1718.451,2083.737,462.3187,2259.113,1865.758,1563.102,3715.719,2543.435,2093.143,1686.898,2234.037,3207.429,3164.159,4838.827,1044.427,3747.183,1560.771,2098.861,2254.782,1547.678,1702.364,1417.212,1535.575,4344.92,2138.287,1741.712,3175.723,2478.832,4588.309,2601.748,3447.536,4196.665,3834.776,3705.468,2414.498,2952.752
516.8952,1538.134,980.1001,1916.451316,1641.903,614.8415,1336.909,3233.629,3031.325,2540.748,1192.159,1598.87,1715.866,2075.325,463.8992,2256.448,1859.299,1556.798,3713.729,2520.49,2082.489,1688.382,2231.177,3214.452,3149.643,4823.123,1037.394,3729.854,1543.252,2079.895,2252.245,1517.063,1675.496,1416.13,1530.926,4324.98,2109.603,1757.046,3192.969,2462.23,4608.652,2580.917,3446.135,4211.346,3840.731,3728.826,2417.421,2962.941
